label,tweet
positif,"['sridianava', 'haloo', 'warga', 'sampe', 'anak', 'cucu']"
negatif,"['konsep', 'islam', 'ttg', 'lgbt', 'islam', 'haram', 'lgbt', 'fitrah', 'pria', 'wanita', 'shg', 'lgbt', 'larang', 'mungkar', 'agr']"
negatif,"['dukung', 'pidana', 'kaum', 'lgbt', 'indonesia', 'negara', 'populasi', 'islam', 'besar', 'dunia', 'wajar']"
negatif,"['sila', 'dukung', 'lgbt', 'dalih', 'hak', 'asasi', 'anak', 'kena']"
negatif,"['sindir', 'bela', 'lgbt', 'nicho', 'silalahi', 'gilir', 'tanah', 'rakyat', 'rampas', 'muncung']"
negatif,"['alam', 'pribadi', 'laku', 'kutuk', 'lgbt', 'thd', 'makasar', 'tahun', 'pulang']"
negatif,"['publik', 'majemuk', 'tahun', 'akrab', 'tradisi', 'lgbt', 'pakai', 'istil']"
negatif,"['ofmagadh', 'inka', 'lgbt']"
negatif,"['gus', 'nadir', 'lgbt', 'bawa', 'roh', 'suci', 'peristiwa', 'nyata', 'tengah', 'deddy', 'unda']"
negatif,"['banding', 'orang', 'gilang', 'lgbt', 'pikir', 'makan']"
negatif,"['id', 'budayawan', 'muhammadiyah', 'umat', 'islam', 'wajib', 'lawan', 'lgbt']"
positif,"['dubes', 'inggris', 'marah', 'negara', 'ri', 'daulat', 'negara']"
positif,"['following', 'kurang', 'beneran', 'cari', 'panggung', 'dpt', 'panggung', 'ruhut', 'dukung', 'lgbt']"
positif,"['bamukmin', 'gegabah', 'sponsorship', 'dunia']"
negatif,"['maaf', 'bang', 'orang', 'muslim', 'agama', 'lgbt', 'larang', 'ber']"
negatif,"['muslim', 'tolak', 'nama', 'lgbt',, 'bis']"
negatif,"['kader', 'muhammadiyah', 'sindir', 'tum', 'pbnu', 'bendera', 'lgbt', 'urus', 'gilir', 'bendera', 'tauhid', 'urus']"
negatif,"['ketua', 'majelis', 'ulama', 'indonesia', 'mui', 'bidang', 'dakwah', 'ukhuwah', 'kh', 'muhammad', 'cholil', 'naf', 'laku', 'lgbt', 'pidana']"
negatif,"['dirs', 'gus', 'bela', 'kaum', 'lgbt', 'guskami', 'mohon',, 'satu', 'harap', 'kaum', 'lgbt', 'naung']"
negatif,"['ngomongin', 'lgbt', 'babi', 'heboh', 'dosa']"
negatif,"['anggota', 'dewan', 'singgung', 'lgbt', 'rapat', 'paripurna', 'puan', 'langsung', 'mati']"
positif,"['serah', 'lgbt', 'dosa', 'simpang', 'salah', 'apa', 'gada']"
negatif,"['halah', 'bokefer', 'dukung', 'lgbt', 'kumurkumur', 'norak', 'loe', 'son']"
negatif,"['pbnu', 'getol', 'bela', 'lgbt', 'aktivis', 'gerah', 'kafir', 'gemar', 'stigma', 'ulama']"
positif,"['hak', 'hidup', 'makhluk', 'jamin', 'buat']"
negatif,"['angka', 'didu', 'om', 'silah', 'mati', 'sendri', 'bawa', 'orang', 'akibat', 'buat', 'lgbt', 'mu']"
negatif,"['budayawan', 'muhammadiyah', 'umat', 'islam', 'wajib', 'lawan', 'lgbt', 'umat', 'islam', 'wajib', 'buka', 'lawan', 'lesbian', 'gay', 'biseksual', 'transg']"
negatif,"['ustadz', 'abdul', 'somad', 'lgbt', 'sakit', 'beri', 'tuhan']"
negatif,"['kanjeng', 'raden', 'formula', 'sponsor', 'lgbt', 'daerah', 'kadrun', 'padang', 'bogor', 'perkosa', 'massal', 'santri', 'tidak', 'benar', 'peluk']"
negatif,"['lildove', 'tolol', 'bener', 'nyesel', 'gua', 'nungguin', 'taun', 'liat', 'plot', 'cacat', 'ala', 'netflix', 'suka', 'campaign', 'lgbt']"
positif,"['bangga', 'lgbtsaya', 'orang', 'indonesia']"
positif,"['surga', 'buron', 'korupsi', 'indonesia', 'singapore', 'surga', 'negara', 'broker', 'miskin', 'sda', 'dere']"
negatif,"['moga', 'anak', 'turun', 'elu', 'lgbt', 'perilaku', 'lgbtaamiin']"
positif,"['penuh', 'tugas', 'nulis', 'judul', 'lgbt', 'negeri', 'adat', 'bahas']"
negatif,"['lu', 'betina', 'jantan', 'enak', 'gw', 'panggil', 'lihat', 'wajah', 'lu', 'kayak', 'lgbt', 'betina', 'jantan']"
negatif,"['bullshit', 'lgbt', 'takdir']"
positif,"['hilang', 'hormat', 'maksud', 'lihat', 'harga']"
positif,"['sumpah', 'nama', 'allah', 'orang', 'kafir', 'musyrik', 'sumpah', 'all']"
positif,"['shandie', 'moga', 'dukung', 'lgbt', 'anak', 'cucu', 'lgbt']"
negatif,"['okok', 'henti', 'debat', 'ngeyel', 'vonis', 'strokebegitupun', 'lgbt', 'vonis', 'hivims', 'langsun']"
negatif,"['walah', 'logika', 'ni', 'bahas', 'lgbt', 'vs', 'babi', 'alkohol', 'pake', 'standar', 'apel', 'apelkalo', 'babi', 'alkohol']"
negatif,"['udah', 'bs', 'bicara', 'lahsudah', 'waktunyarakyat', 'melawanketidak', 'adil']"
negatif,"['masak', 'dpr', 'kalah', 'tekan', 'lslam']"
negatif,"['fifa', 'jadi', 'nadir', 'sebagai', 'negosiator', 'agar', 'sampai', 'urus', 'lgbt', 'urus', 'tuhan']"
positif,"['langsung', 'web', 'boskuh', 'bonus', 'garansi', 'potonganlink', 'daftar']"
negatif,"['nneve', 'untung', 'mui', 'muhamadiyah', 'keras', 'tentang', 'kesah', 'lgbt', 'indonesia']"
negatif,"['dirs', 'nadir', 'perwkilan', 'lgbt', 'nahdatul', 'ulama']"
negatif,"['pejaten', 'selamat', 'sore', 'kaum', 'kaum', 'cherybol', 'bong', 'lgbtkumpulan', 'spesies', 'sampah', 'coba', 'paksa', 'paksa', 'komisioner']"
negatif,"['trending', 'jelek', 'lgbt', 'bukan', 'kriminal', 'enak', 'udel', 'bawa', 'bawa', 'penjara', 'urus', 'tuhan', 'hadeh', 'negara', 'wakanda']"
negatif,"['orang', 'korupsi', 'bilang', 'wajar', 'heran', 'lgbt', 'napas', 'doang', 'masuk', 'penjara', 'kocak', 'gemingg']"
negatif,"['istri', 'nabi', 'luth', 'azab', 'allah', 'laku', 'dukung', 'buat', 'lgbtkami']"
negatif,"['ngakak', 'liat', 'lgbt', 'trending', 'kirain', 'koar', 'lgbt', 'pidanain', 'ngabrutttt']"
positif,"['stop', 'judging', 'people', 'pikir', 'kolot', 'mu', 'it', 'harga', 'thats', 'it', 'orang', 'lgbt', 'bawa']"
negatif,"['lgbt', 'kriminal', 'atur', 'penjara', 'lgbt', 'for', 'no', 'reason', 'just', 'becaus']"
negatif,"['lgbt', 'umur', 'hidup', 'tapa', 'salur', 'hasrat', 'seksual', 'bbrp', 'boca']"
positif,"['best', 'seller', 'inone', 'wireless', 'bluetooth', 'headset', 'with', 'mic', 'kst', 'for', 'music', 'year', 'official', 'warrantyrp', 'diskon']"
positif,"['stop', 'judging', 'people', 'pikir', 'kolot', 'mu', 'it', 'harga', 'thats', 'it', 'orang', 'lgbt']"
negatif,"['niih', 'bani', 'tusbol', 'lgbt', 'kaum', 'pendukungnyabacalah']"
positif,"['gw', 'lgbt', 'tantang', 'tantang', 'mana', 'ubah', 'normal', 'tantang', 'mana']"
positif,"['bela', 'bain', 'kaum', 'sodom', 'gay', 'lesbi', 'lgbt', 'girang']"
negatif,"['panggil', 'pake', 'gas', 'gus', 'gas', 'gus', 'lgbt', 'narkoba', 'candu', 'rusak']"
positif,"['laku', 'lgbt']"
negatif,"['ttg', 'lgbt', 'buru', 'mati', 'micjangan', 'aaasssuu', 'dah']"
positif,"['jepang', 'meibbfs', 'bb', 'shot']"
positif,"['heryanto', 'tulis', 'tulis', 'media', 'muat', 'lgbt']"
positif,"['nkri', 'asai', 'khianat', 'langgar', 'pancasila', 'uud', 'usaha', 'susup', 'liberal', 'nkri']"
negatif,"['pro', 'lgbtislamophobia']"
positif,"['macau', 'meibbfs', 'bb', 'shot']"
negatif,"['lgbt', 'kriminal', 'atur', 'penjara', 'lgbt', 'for', 'no', 'reason', 'jus']"
negatif,"['ahong', 'negara', 'laku', 'hukum', 'islam', 'perilaku', 'lgbt', 'kembang']"
negatif,"['pejaten', 'kaum', 'bong', 'lgbt', 'cokro', 'tvkok', 'lapor', 'polda', 'metro', 'lurah', 'istanakatanya', 'lurah', 'istana', 'dil']"
negatif,"['indonesia', 'hidup', 'sehat', 'bahagia', 'hiv', 'aids', 'sipil', 'cacar', 'dukung', 'uu', 'revisi', 'kuhp', 'lgbt']"
negatif,"['pejaten', 'spesies', 'jijik', 'lgbt', 'korban', 'halu', 'cokro', 'bongkar', 'lurah', 'istanapantas', 'pem']"
negatif,"['pov', 'lu', 'lgi', 'liat', 'org', 'lol', 'lgbt', 'damn', 'nsfw', 'lu', 'sarkas', 'ngabrut']"
positif,"['tahun', 'dalam', 'ceramah', 'sebut', 'lgbt', 'hina', 'hewan', 'ayam', 'akal', 'ayam', 'jago']"
negatif,"['cari', 'dasar', 'hukum', 'larang', 'lgbt', 'nasi', 'mawut', 'sesat', 'lihat', 'dasar', 'ideologi', 'pancasila']"
positif,"['dukung', 'lgbt', 'indonesia']"
negatif,"['mari', 'dukung', 'tetap', 'rkuhp', 'atur', 'hukum', 'pidana', 'laku', 'lgbt', 'https']"
negatif,"['lgbt', 'benar', 'harga', 'ada', 'dasar', 'lgbt', 'sud']"
negatif,"['lgbt', 'benar', 'harga', 'ada', 'dasar', 'lgbt']"
positif,"['calon', 'plecidenkenapa', 'laku', 'bginiapa', 'dukun']"
negatif,"['muslim', 'marah', 'lihat', 'bendera', 'tauhid', 'kibar', 'ambil', 'pusing', 'bendera', 'lgbt', 'naik', 'moga', 'allah', 'jaga']"
negatif,"['wakanda', 'ormas', 'aku', 'islam', 'tapi', 'semua', 'larang', 'islam', 'dukung', 'ulama', 'islam', 'hina']"
negatif,"['gus', 'kemarin', 'sd', 'sh', 'mana', 'hidup', 'coba', 'meme', 'segar', 'otak', 'membandi']"
negatif,"['inotav', 'benertapi', 'ceramah', 'bel']"
positif,"['bungo', 'sanding', 'atheis', 'lgbt', 'aneh', 'hehehe']"
positif,"['caci', 'maki', 'diskus', 'beda', 'sudut', 'pandang', 'disk']"
positif,"['ak', 'cabang', 'lgbtia']"
negatif,"['pihakpihak', 'pro', 'kelompok', 'lgbt', 'hak', 'bebas']"
negatif,"['lihat', 'segi', 'hukum', 'atur', 'khusus', 'atur', 'lgbt', 'indonesia']"
negatif,"['bot', 'lgbt', 'sakit', 'tular']"
negatif,"['respons', 'mahfud', 'komisi', 'iii', 'dpr', 'pasti', 'lgbtzina', 'masuk', 'draf', 'rkuhpyes']"
negatif,"['apani', 'lgbt', 'apani']"
negatif,"['lahh', 'udah', 'lgbt', 'simpang', 'ideologi', 'indonesia', 'sila']"
positif,"['dirs', 'pelintir', 'tapi', 'sikap', 'anda', 'akan', 'bela', 'lgbt', 'pancing', 'orang', 'gerah', 'buat', 'demik']"
negatif,"['eh', 'lgbt', 'ngaruh', 'ntar', 'lgbt', 'populasi', 'manusia', 'bumi', 'punah', 'bagus', 'loe', 'oran']"
negatif,"['lgbt', 'lesbian', 'gay', 'biseksual', 'transgender', 'identik', 'bendera', 'pelangi', 'perilaku', 'nyi']"
positif,"['kait', 'isu', 'bahas', 'lgbt', 'perspektif', 'hukum', 'nasional']"
negatif,"['gera', 'lgbt', 'indonesia', 'proyek', 'dunia', 'kelola', 'badan', 'khusus', 'internasional']"
positif,"['covid', 'tuduh', 'dalang', 'beliau', 'skrang', 'cacar', 'monyet', 'jg', 'bilang', 'dalang', 'beliau', 'jg', 'suruh', 'wh']"
negatif,"['ooo', 'manusia', 'getol', 'bela', 'kaum', 'sodom', 'itulgbt', 'sampah', 'adab', 'klen']"
negatif,"['lgbt', 'sakit', 'gender', 'elu', 'main', 'yih', 'rscm', 'rs', 'dharmais', 'gimana', 'kena', 'aids', 'hiv']"
positif,"['tim', 'lgbt', 'sempetin', 'nunjukin', 'dukung']"
negatif,"['ngotot', 'bener', 'bela', 'lgbt', 'elu', 'pikir', 'elu', 'nongol', 'dunia', 'ortu', 'lgbt']"
negatif,"['sin', 'is', 'sintidak', 'dosa', 'lgbt', 'dosa', 'dosa']"
negatif,"['lagu', 'lu', 'sok', 'sok', 'an', 'dukung', 'lgbtallah', 'swt', 'laknat', 'laku', 'lgbtini', 'sok', 'sok', 'an', 'dukung', 'buat', 'hina']"
negatif,"['ajar', 'agama', 'erti', 'ajar', 'islam', 'ajar', 'ulama']"
negatif,"['marm', 'nabi', 'kutuk', 'lgbt', 'lu', 'agus', 'nyuruh', 'hormat', 'lgbt', 'pala', 'lo', 'bauk', 'agus']"
positif,"['tp', 'udah', 'jarang', 'jg', 'liat', 'iklan', 'rokok', 'skrg', 'dri', 'sosmed', 'esse', 'lgbt', 'beli']"
negatif,"['mati', 'mbak', 'anggota', 'dewan', 'singgung', 'lgbt', 'rapat', 'paripurna', 'mbak', 'sua']"
negatif,"['periode', 'asai', 'capable', 'pimpin', 'negeri', 'kuasa', 'urus', 'mic']"
negatif,"['kenapasihhh', 'negara', 'udah', 'krisis', 'iklim', 'keras', 'domestik', 'timpang', 'kelas', 'gede', 'fokus', 'lgbt', 'ngaruh', 'apaapa']"
positif,"['tingkat', 'intelegensi', 'kaum', 'lgbt', 'rendah', 'banding', 'hewan', 'kawin', 'jenis']"
negatif,"['pejaten', 'lgbt', 'lesbian', 'gay', 'bisexsual', 'transgenderpenyakit', 'terlaknatrasulullah', 'shalallahu', 'alaihi', 'wasallam', 'bers']"
negatif,"['udah', 'negara', 'antilgbt', 'deddy', 'ngundang', 'pasang', 'gay', 'kontroversial', 'lu', 'pindah', 'negara', 'beli', 'kacang']"
negatif,"['sea', 'lgbt', 'salah', 'mikir']"
positif,"['dubes', 'inggris', 'kibar', 'bendera', 'lgbt', 'indonesia', 'malaysia']"
negatif,"['tuju', 'komentar', 'lgbt', 'ibhrs', 'retweet', 'gus', 'nadir', 'like', 'https']"
positif,"['salah', 'tindak', 'hukum', 'emang', 'jahat']"
negatif,"['lgbt', 'mati', 'mic', 'gimana', 'bela', 'nasib', 'muslim', 'indonesia', 'tutup', 'pintu', 'kantor', 'dpr']"
negatif,"['dosa', 'laku', 'orang', 'biar', 'tolak', 'lgbt', 'dosa']"
negatif,"['highlight', 'story', 'instagram', 'urai', 'perkara', 'lgbt', 'lgbt', 'syiah', 'lainlain']"
negatif,"['pejaten', 'kaum', 'cebong', 'homo', 'lgbt', 'cokro', 'gagal', 'operasi', 'namakilurahsudah', 'sebar', 'grup', 'grup', 'wa']"
positif,"['pesan', 'laku', 'dukung', 'lgbt', 'iya', 'akal', 'seha']"
negatif,"['kaum', 'sodom', 'zaman', 'nabi', 'luth', 'leceh', 'pancasila', 'dasar', 'negara']"
negatif,"['mana', 'org', 'kecil', 'potensi', 'tular', 'sakit', 'naik']"
negatif,"['lgbt', 'sakit', 'mental', 'sembuh', 'republika', 'online', 'mobile']"
negatif,"['bcd', 'chattan', 'dululgbt', 'btajg', 'astagfirullah', 'gitum', 'ajgajg', 'astagfirullah']"
negatif,"['komunitas', 'lgbt', 'gelar', 'acara', 'makassar', 'mui', 'sulsel', 'tolak', 'hidayatullah', 'sleman']"
positif,"['blazer', 'set', 'ngantor', 'rating']"
negatif,"['perilaku', 'lgbt', 'perspektif', 'hukum', 'indonesia', 'thread']"
negatif,"['anjing', 'trending', 'lgbt']"
positif,"['beli', 'ticket', 'pesawat', 'afganistan', 'ntar', 'sewain', 'pesawat', 'hotel', 'akomodasi', 'us']"
negatif,"['james', 'martin', 'sj', 'ruang', 'jumpa', 'gereja', 'komunitas', 'lgbt', 'via', 'net']"
negatif,"['bot', 'hbgn', 'bot', 'emg', 'bs', 'arti', 'bonceng', 'bs', 'jg', 'lgbt', 'tp', 'ak', 'jg', 'ngerti', 'sieeee']"
negatif,"['curhat', 'amin', 'ak', 'mik', 'mati', 'puan', 'suara', 'bahaya', 'lgbtyang', 'tuju', 'pidana']"
negatif,"['yunianto', 'percaya', 'laku', 'lgbt', 'bahagiakebahagiaan', 'semu', 'dikejarberujung', 'derita']"
negatif,"['maaf', 'nihabang', 'bela', 'lgbtsya', 'tanyaapa', 'abang', 'anak', 'abang', 'jdi', 'lgbtsebab', 'lgbt', 'sakit', 'bang']"
negatif,"['orang', 'lgbt', 'bingung', 'banget', 'pasca', 'podcast', 'corbuzier', 'maki', 'rezim', 'jokowi']"
negatif,"['opm', 'jlas', 'troris', 'kga', 'total', 'lu', 'lawannyamalah', 'disbut', 'sodaratag', 'semarang', 'ganjar', 'pranowo', 'monyet', 'kalong', 'puan', 'sodom']"
negatif,"['ekokuntadhi', 'kaya', 'giat', 'medsos', 'tebar', 'teror', 'anggap', 'teroris', 'isi', 'tulis', 'penafsiranya', 'kaya']"
positif,"['argunemtasi', 'benar', 'lgbt', 'argumentasi', 'agama', 'logika', 'ngaw']"
negatif,"['kaum', 'anus', 'haram', 'qatarlgbt', 'kaum', 'laknat', 'emang', 'kasih', 'dunia', 'inilgbt', 'kaum', 'hina']"
negatif,"['dirs', 'bgn', 'lgbtapaanda', 'senang', 'klau', 'klg', 'nikmat', 'lobang', 'taiapakah', 'bangga', 'dukung', 'penikma']"
negatif,"['siang', 'sayang', 'ready', 'skrng', 'open', 'vcs', 'lgbt']"
negatif,"['curah', 'hati', 'inong', 'hadap', 'langsung', 'pasien', 'lgbt', 'sedih', 'kor']"
negatif,"['puan', 'mati', 'mic', 'fraksi', 'pks', 'bahas', 'lgbt', 'tifatul', 'sembiring', 'sarkas', 'hemat']"
negatif,"['siaga', 'lindung', 'keluarga', 'fan', 'masyarakat', 'bahaya', 'laten', 'lgbt', 'komunisme', 'sailing', 'bahu', 'bahu', 'hancur', 'keluarga']"
negatif,"['tanggung', 'lgbt', 'koruptor', 'triliun', 'bebas', 'utang', 'numpuk']"
negatif,"['dirs', 'dalam', 'cipta', 'ruh', 'allah', 'hembus', 'asma', 'allah', 'rosulnya', 'ruh', 'dah', 'brojol', 'emang', 'ruh']"
negatif,"['pejaten', 'lurah', 'istana', 'spesies', 'lgbt', 'bongdrun', 'selebtwit', 'nyaterutama', 'kaum', 'bodoh', 'gratis', 'cebongkalian', 'bis']"
positif,"['hati', 'hati', 'benci', 'benci', 'orang', 'tua', 'bener', 'bener', 'benci', 'lgbt', 'dll', 'tern']"
negatif,"['lgbt', 'bincang', 'hangat', 'bukti', 'trending', 'lgbt', 'berturutturut']"
positif,"['bingung', 'lgbt']"
positif,"['lgbt', 'bincang', 'hangat', 'bukti', 'trending', 'lgbt']"
negatif,"['bugis', 'sperti', 'lgbt', 'casing', 'sperti', 'laintp', 'buat']"
negatif,"['nu', 'hilang', 'ruh', 'lgbt', 'bela', 'ulama', 'cemooh']"
negatif,"['ahong', 'buat', 'laknat', 'loe', 'doang', 'kena', 'imbas', 'nga']"
negatif,"['gw', 'bingung', 'becandaan', 'rkuhp', 'lgbt']"
positif,"['juang', 'bela', 'lgbt']"
negatif,"['alas', 'ham', 'lindung', 'lupa', 'lgbt', 'rombak', 'total', 'ham', 'manusia']"
negatif,"['teliti', 'homophobia', 'orang', 'toleran', 'ama', 'kaum', 'lgbt', 'ama', 'orang', 'anti', 'banget', 'ama', 'lgbt', 'samasama', 'kas']"
negatif,"['pejaten', 'lgbt', 'jangkit', 'level', 'tengah', 'atascoba', 'berani', 'ketua', 'dprri', 'foto', 'publik']"
positif,"['bawah', 'lgbt']"
positif,"['darius', 'sinathrya', 'blakblakan', 'tuding', 'dukung', 'lgbt']"
negatif,"['bang', 'yos', 'manusia', 'intelijenberpikirnya', 'prediksi', 'buruk', 'datangjadi', 'bener', 'bang', 'yos', 'waspada']"
positif,"['ahli', 'mati', 'mik', 'dukung', 'kaum', 'lgbt']"
negatif,"['jg', 'mati', 'mic', 'alas', 'lewat', 'menit', 'isu', 'lgbt', 'resah', 'mas']"
positif,"['ali', 'bhineka', 'tunggal', 'ika', 'beda', 'beda', 'satulgbt', 'mana', 'beda', 'orang', 'suka', 'paksa']"
positif,"['lgbt', 'bikin', 'camat']"
positif,"['ngeri', 'kuat', 'lindung', 'lgbt', 'alas', 'ham']"
negatif,"['srg', 'ahong', 'jambret', 'udah', 'dapet', 'hukum', 'masuk', 'benar']"
negatif,"['denger', 'denger', 'mati', 'mic', 'pas', 'bahas', 'sanksi', 'lgbt', 'kah']"
negatif,"['partai', 'lgbt', 'bro', 'nama', 'partai', 'rakyat', 'cocok']"
negatif,"['terap', 'syariat', 'islam', 'brunei', 'darussalam', 'inisiatif', 'hukum', 'laku']"
negatif,"['sridianava', 'agama', 'islam', 'gerogot', 'syiah', 'yahudi', 'susup']"
