,tweet,tweet_tokens,tweet_tokens_WSW,tweet_tokens_stemmed
11,rt aku heran melihat lgbt di indonesia kebanyakan mereka munafik karena mereka tidak ingin memperjuangkan hak mereka bahkan,"['rt', 'aku', 'heran', 'melihat', 'lgbt', 'di', 'indonesia', 'kebanyakan', 'mereka', 'munafik', 'karena', 'mereka', 'tidak', 'ingin', 'memperjuangkan', 'hak', 'mereka', 'bahkan']","['heran', 'lgbt', 'indonesia', 'kebanyakan', 'munafik', 'memperjuangkan', 'hak']","['heran', 'lgbt', 'indonesia', 'banyak', 'munafik', 'juang', 'hak']"
12,fyi lgbt mau ada tindak pidananya,"['fyi', 'lgbt', 'mau', 'ada', 'tindak', 'pidananya']","['fyi', 'lgbt', 'tindak', 'pidananya']","['fyi', 'lgbt', 'tindak', 'pidana']"
13,atau disaat seseorang yg normal mengucilkan menjauhkan diri amp keluarganya dari kaum lgbt ente teriak,"['atau', 'disaat', 'seseorang', 'yg', 'normal', 'mengucilkan', 'menjauhkan', 'diri', 'amp', 'keluarganya', 'dari', 'kaum', 'lgbt', 'ente', 'teriak']","['disaat', 'normal', 'mengucilkan', 'menjauhkan', 'keluarganya', 'kaum', 'lgbt', 'ente', 'teriak']","['saat', 'normal', 'kucil', 'jauh', 'keluarga', 'kaum', 'lgbt', 'ente', 'teriak']"
14,rt bendera tauhid antum bakar sementara bendera lgbt antum kibarkan kebenaran antum salahkan kebatilan justru antum bela,"['rt', 'bendera', 'tauhid', 'antum', 'bakar', 'sementara', 'bendera', 'lgbt', 'antum', 'kibarkan', 'kebenaran', 'antum', 'salahkan', 'kebatilan', 'justru', 'antum', 'bela']","['bendera', 'tauhid', 'antum', 'bakar', 'bendera', 'lgbt', 'antum', 'kibarkan', 'kebenaran', 'antum', 'salahkan', 'kebatilan', 'antum', 'bela']","['bendera', 'tauhid', 'antum', 'bakar', 'bendera', 'lgbt', 'antum', 'kibar', 'benar', 'antum', 'salah', 'batil', 'antum', 'bela']"
15,rt  qatar haramkan lgbt di piala dunia kami tidak akan menukar agama hanya karena turnamen hari,"['rt', 'qatar', 'haramkan', 'lgbt', 'di', 'piala', 'dunia', 'kami', 'tidak', 'akan', 'menukar', 'agama', 'hanya', 'karena', 'turnamen', 'hari']","['qatar', 'haramkan', 'lgbt', 'piala', 'dunia', 'menukar', 'agama', 'turnamen']","['qatar', 'haram', 'lgbt', 'piala', 'dunia', 'tukar', 'agama', 'turnamen']"
16,lgbt qi,"['lgbt', 'qi']","['lgbt', 'qi']","['lgbt', 'qi']"
17,rt selain surga buat buron korupsi indonesia singapore juga surga buat lgbthanya negara broker dan miskin sda,"['rt', 'selain', 'surga', 'buat', 'buron', 'korupsi', 'indonesia', 'singapore', 'juga', 'surga', 'buat', 'lgbthanya', 'negara', 'broker', 'dan', 'miskin', 'sda']","['surga', 'buron', 'korupsi', 'indonesia', 'singapore', 'surga', 'lgbthanya', 'negara', 'broker', 'miskin', 'sda']","['surga', 'buron', 'korupsi', 'indonesia', 'singapore', 'surga', 'lgbthanya', 'negara', 'broker', 'miskin', 'sda']"
18,bukan mau membela atau mendukung kaum lgbt yg harus di pidanakan itu pelaku kejahatan lgbtnya ngomong soal pidana,"['bukan', 'mau', 'membela', 'atau', 'mendukung', 'kaum', 'lgbt', 'yg', 'harus', 'di', 'pidanakan', 'itu', 'pelaku', 'kejahatan', 'lgbtnya', 'ngomong', 'soal', 'pidana']","['membela', 'mendukung', 'kaum', 'lgbt', 'pidanakan', 'pelaku', 'kejahatan', 'lgbtnya', 'ngomong', 'pidana']","['bela', 'dukung', 'kaum', 'lgbt', 'pidana', 'laku', 'jahat', 'lgbtnya', 'ngomong', 'pidana']"
19,deababiel cinta inggris bangga jadi lgbt pak brengos sudah tua gak usah sok sokan komentar,"['deababiel', 'cinta', 'inggris', 'bangga', 'jadi', 'lgbt', 'pak', 'brengos', 'sudah', 'tua', 'gak', 'usah', 'sok', 'sokan', 'komentar']","['deababiel', 'cinta', 'inggris', 'bangga', 'lgbt', 'brengos', 'tua', 'sok', 'sokan', 'komentar']","['deababiel', 'cinta', 'inggris', 'bangga', 'lgbt', 'brengos', 'tua', 'sok', 'sok', 'komentar']"
20,rt  bahaya lgbt,"['rt', 'bahaya', 'lgbt']","['bahaya', 'lgbt']","['bahaya', 'lgbt']"
21,rt pejaten ketua ri mematikan mic saat rapat pembahasan soal lgbtbukan karena apa apa itu namun karena sial nya lagi suami ke,"['rt', 'pejaten', 'ketua', 'ri', 'mematikan', 'mic', 'saat', 'rapat', 'pembahasan', 'soal', 'lgbtbukan', 'karena', 'apa', 'apa', 'itu', 'namun', 'karena', 'sial', 'nya', 'lagi', 'suami', 'ke']","['pejaten', 'ketua', 'ri', 'mematikan', 'mic', 'rapat', 'pembahasan', 'lgbtbukan', 'sial', 'suami']","['pejaten', 'ketua', 'ri', 'mati', 'mic', 'rapat', 'bahas', 'lgbtbukan', 'sial', 'suami']"
22,rt cpa yg bela lgbt ga ada cuma yg ada sekarang lom ada perangkat hukum yg bisa menjerat lgbt kalo hukum agama,"['rt', 'cpa', 'yg', 'bela', 'lgbt', 'ga', 'ada', 'cuma', 'yg', 'ada', 'sekarang', 'lom', 'ada', 'perangkat', 'hukum', 'yg', 'bisa', 'menjerat', 'lgbt', 'kalo', 'hukum', 'agama']","['cpa', 'bela', 'lgbt', 'lom', 'perangkat', 'hukum', 'menjerat', 'lgbt', 'hukum', 'agama']","['cpa', 'bela', 'lgbt', 'lom', 'perangkat', 'hukum', 'jerat', 'lgbt', 'hukum', 'agama']"
23,rt dirs ini pelintirannya luar biasa yang dicuitkan setiap manusia tetapi judul beritanya pelaku lgbt terus dibenturkan dg ce,"['rt', 'dirs', 'ini', 'pelintirannya', 'luar', 'biasa', 'yang', 'dicuitkan', 'setiap', 'manusia', 'tetapi', 'judul', 'beritanya', 'pelaku', 'lgbt', 'terus', 'dibenturkan', 'dg', 'ce']","['dirs', 'pelintirannya', 'dicuitkan', 'manusia', 'judul', 'beritanya', 'pelaku', 'lgbt', 'dibenturkan', 'ce']","['dirs', 'pelintir', 'cuit', 'manusia', 'judul', 'berita', 'laku', 'lgbt', 'bentur', 'ce']"
24,yess ane juga out lgbt harga mati bukan menentang tapi tidak boleh dikasih ruang ke,"['yess', 'ane', 'juga', 'out', 'lgbt', 'harga', 'mati', 'bukan', 'menentang', 'tapi', 'tidak', 'boleh', 'dikasih', 'ruang', 'ke']","['yess', 'ane', 'out', 'lgbt', 'harga', 'mati', 'menentang', 'dikasih', 'ruang']","['yess', 'ane', 'out', 'lgbt', 'harga', 'mati', 'tentang', 'kasih', 'ruang']"
25,rt organisasi kesehatan dunia who memberi peringatan pada penyakit cacar monyet monkeypox lonjakan kasus ternyata terjadi di,"['rt', 'organisasi', 'kesehatan', 'dunia', 'who', 'memberi', 'peringatan', 'pada', 'penyakit', 'cacar', 'monyet', 'monkeypox', 'lonjakan', 'kasus', 'ternyata', 'terjadi', 'di']","['organisasi', 'kesehatan', 'dunia', 'who', 'peringatan', 'penyakit', 'cacar', 'monyet', 'monkeypox', 'lonjakan']","['organisasi', 'sehat', 'dunia', 'who', 'ingat', 'sakit', 'cacar', 'monyet', 'monkeypox', 'lonjak']"
26,rt saya tidak sehipokrit itu saya akan bersikap sama jika poligami ditentang cadar dilarang karena itu hak yang bersifat,"['rt', 'saya', 'tidak', 'sehipokrit', 'itu', 'saya', 'akan', 'bersikap', 'sama', 'jika', 'poligami', 'ditentang', 'cadar', 'dilarang', 'karena', 'itu', 'hak', 'yang', 'bersifat']","['sehipokrit', 'bersikap', 'poligami', 'ditentang', 'cadar', 'dilarang', 'hak', 'bersifat']","['hipokrit', 'sikap', 'poligami', 'tentang', 'cadar', 'larang', 'hak', 'sifat']"
27,rt silalahi giliran lgbt lantang kalian bersuara untuk menghormati hak mereka tapi giliran tanah rakyat dirampas upah murah pada,"['rt', 'silalahi', 'giliran', 'lgbt', 'lantang', 'kalian', 'bersuara', 'untuk', 'menghormati', 'hak', 'mereka', 'tapi', 'giliran', 'tanah', 'rakyat', 'dirampas', 'upah', 'murah', 'pada']","['silalahi', 'giliran', 'lgbt', 'lantang', 'bersuara', 'menghormati', 'hak', 'giliran', 'tanah', 'rakyat', 'dirampas', 'upah', 'murah']","['silalahi', 'gilir', 'lgbt', 'lantang', 'suara', 'hormat', 'hak', 'gilir', 'tanah', 'rakyat', 'rampas', 'upah', 'murah']"
28,yg pro lgbt buang jauh ke jurang terdalam,"['yg', 'pro', 'lgbt', 'buang', 'jauh', 'ke', 'jurang', 'terdalam']","['pro', 'lgbt', 'buang', 'jurang', 'terdalam']","['pro', 'lgbt', 'buang', 'jurang', 'dalam']"
29,uu perzinaan berlaku kalau sudah berzina kibarkan bendera persatuan tukang zina itu itu kekonyolan,"['uu', 'perzinaan', 'berlaku', 'kalau', 'sudah', 'berzina', 'kibarkan', 'bendera', 'persatuan', 'tukang', 'zina', 'itu', 'itu', 'kekonyolan']","['uu', 'perzinaan', 'berlaku', 'berzina', 'kibarkan', 'bendera', 'persatuan', 'tukang', 'zina', 'kekonyolan']","['uu', 'zina', 'laku', 'zina', 'kibar', 'bendera', 'satu', 'tukang', 'zina', 'konyol']"
30,cpa yg bela lgbt ga ada cuma yg ada sekarang lom ada perangkat hukum yg bisa menjerat lgbt kalo hukum,"['cpa', 'yg', 'bela', 'lgbt', 'ga', 'ada', 'cuma', 'yg', 'ada', 'sekarang', 'lom', 'ada', 'perangkat', 'hukum', 'yg', 'bisa', 'menjerat', 'lgbt', 'kalo', 'hukum']","['cpa', 'bela', 'lgbt', 'lom', 'perangkat', 'hukum', 'menjerat', 'lgbt', 'hukum']","['cpa', 'bela', 'lgbt', 'lom', 'perangkat', 'hukum', 'jerat', 'lgbt', 'hukum']"
31,lah yg penyakit itu lgbt loe pake argumen itu terbalik ga mungkin orang yg sehat menularkan kesehatan,"['lah', 'yg', 'penyakit', 'itu', 'lgbt', 'loe', 'pake', 'argumen', 'itu', 'terbalik', 'ga', 'mungkin', 'orang', 'yg', 'sehat', 'menularkan', 'kesehatan']","['penyakit', 'lgbt', 'loe', 'pake', 'argumen', 'terbalik', 'orang', 'sehat', 'menularkan', 'kesehatan']","['sakit', 'lgbt', 'loe', 'pake', 'argumen', 'balik', 'orang', 'sehat', 'tular', 'sehat']"
32,rt kata siapa lgbt takdir sam brodie tak ada kata terlambat di usia tahun samuel david alexander brodie atau sam,"['rt', 'kata', 'siapa', 'lgbt', 'takdir', 'sam', 'brodie', 'tak', 'ada', 'kata', 'terlambat', 'di', 'usia', 'tahun', 'samuel', 'david', 'alexander', 'brodie', 'atau', 'sam']","['lgbt', 'takdir', 'sam', 'brodie', 'terlambat', 'usia', 'samuel', 'david', 'alexander', 'brodie', 'sam']","['lgbt', 'takdir', 'sam', 'brodie', 'lambat', 'usia', 'samuel', 'david', 'alexander', 'brodie', 'sam']"
33,rt bima kader muhammadiyah sindir ketum pbnu bendera lgbt bukan urusan kita giliran bendera tauhid diurus,"['rt', 'bima', 'kader', 'muhammadiyah', 'sindir', 'ketum', 'pbnu', 'bendera', 'lgbt', 'bukan', 'urusan', 'kita', 'giliran', 'bendera', 'tauhid', 'diurus']","['bima', 'kader', 'muhammadiyah', 'sindir', 'ketum', 'pbnu', 'bendera', 'lgbt', 'urusan', 'giliran', 'bendera', 'tauhid', 'diurus']","['bima', 'kader', 'muhammadiyah', 'sindir', 'tum', 'pbnu', 'bendera', 'lgbt', 'urus', 'gilir', 'bendera', 'tauhid', 'urus']"
34,viralin isu buzzerp radikal radikul lgbt periode kriminalisasi ulama adu domba rakyat anis yang,"['viralin', 'isu', 'buzzerp', 'radikal', 'radikul', 'lgbt', 'periode', 'kriminalisasi', 'ulama', 'adu', 'domba', 'rakyat', 'anis', 'yang']","['viralin', 'isu', 'buzzerp', 'radikal', 'radikul', 'lgbt', 'periode', 'kriminalisasi', 'ulama', 'adu', 'domba', 'rakyat', 'anis']","['viralin', 'isu', 'buzzerp', 'radikal', 'radikul', 'lgbt', 'periode', 'kriminalisasi', 'ulama', 'adu', 'domba', 'rakyat', 'anis']"
35,rt pejaten kaum bong spesies lgbt ada yang datang kumpul di kuningan tidak hari iniada aming tokoh lgbt yg akan bicara masalah hak,"['rt', 'pejaten', 'kaum', 'bong', 'spesies', 'lgbt', 'ada', 'yang', 'datang', 'kumpul', 'di', 'kuningan', 'tidak', 'hari', 'iniada', 'aming', 'tokoh', 'lgbt', 'yg', 'akan', 'bicara', 'masalah', 'hak']","['pejaten', 'kaum', 'bong', 'spesies', 'lgbt', 'kumpul', 'kuningan', 'iniada', 'aming', 'tokoh', 'lgbt', 'bicara', 'hak']","['pejaten', 'kaum', 'bong', 'spesies', 'lgbt', 'kumpul', 'kuningan', 'iniada', 'aming', 'tokoh', 'lgbt', 'bicara', 'hak']"
36,rt silahkan rakyat mencatat partai amp politisi mana saja yg pro kaum sodom amp melawan norma agama serta pancasila tenggelamken,"['rt', 'silahkan', 'rakyat', 'mencatat', 'partai', 'amp', 'politisi', 'mana', 'saja', 'yg', 'pro', 'kaum', 'sodom', 'amp', 'melawan', 'norma', 'agama', 'serta', 'pancasila', 'tenggelamken']","['silahkan', 'rakyat', 'mencatat', 'partai', 'politisi', 'pro', 'kaum', 'sodom', 'melawan', 'norma', 'agama', 'pancasila', 'tenggelamken']","['silah', 'rakyat', 'catat', 'partai', 'politis', 'pro', 'kaum', 'sodom', 'lawan', 'norma', 'agama', 'pancasila', 'tenggelamken']"
37,rt obat penggugur kandungan original ready stok setiap hari siap membantu anda sampai tuntas untuk respon cepat bisa,"['rt', 'obat', 'penggugur', 'kandungan', 'original', 'ready', 'stok', 'setiap', 'hari', 'siap', 'membantu', 'anda', 'sampai', 'tuntas', 'untuk', 'respon', 'cepat', 'bisa']","['obat', 'penggugur', 'kandungan', 'original', 'ready', 'stok', 'membantu', 'tuntas', 'respon', 'cepat']","['obat', 'gugur', 'kandung', 'original', 'ready', 'stok', 'bantu', 'tuntas', 'respon', 'cepat']"
38,rt dapat panggung setelah sat set sat set melaporkan rasisnya si ruhut eh taunya pembela lgbt,"['rt', 'dapat', 'panggung', 'setelah', 'sat', 'set', 'sat', 'set', 'melaporkan', 'rasisnya', 'si', 'ruhut', 'eh', 'taunya', 'pembela', 'lgbt']","['panggung', 'sat', 'set', 'sat', 'set', 'melaporkan', 'rasisnya', 'ruhut', 'eh', 'taunya', 'pembela', 'lgbt']","['panggung', 'sat', 'set', 'sat', 'set', 'lapor', 'ras', 'ruhut', 'eh', 'tau', 'bela', 'lgbt']"
39,rt negara larang lgbt indonesia kapan,"['rt', 'negara', 'larang', 'lgbt', 'indonesia', 'kapan']","['negara', 'larang', 'lgbt', 'indonesia']","['negara', 'larang', 'lgbt', 'indonesia']"
40,rt tagar lgbt tidak boleh dibiarkan tumbuh dalam masyarakat mari dukung pemerintah untuk menetapkan tegas di indo,"['rt', 'tagar', 'lgbt', 'tidak', 'boleh', 'dibiarkan', 'tumbuh', 'dalam', 'masyarakat', 'mari', 'dukung', 'pemerintah', 'untuk', 'menetapkan', 'tegas', 'di', 'indo']","['tagar', 'lgbt', 'dibiarkan', 'tumbuh', 'masyarakat', 'mari', 'dukung', 'pemerintah', 'menetapkan', 'indo']","['tagar', 'lgbt', 'biar', 'tumbuh', 'masyarakat', 'mari', 'dukung', 'perintah', 'tetap', 'indo']"
41,rt kedubes inggris kibarkan bendera lgbt lbh pelita umat lancang,"['rt', 'kedubes', 'inggris', 'kibarkan', 'bendera', 'lgbt', 'lbh', 'pelita', 'umat', 'lancang']","['kedubes', 'inggris', 'kibarkan', 'bendera', 'lgbt', 'lbh', 'pelita', 'umat', 'lancang']","['dubes', 'inggris', 'kibar', 'bendera', 'lgbt', 'lbh', 'pelita', 'umat', 'lancang']"
42,rt  qatar tolak dg keras world cup disusupi pesanan lgbt keren,"['rt', 'qatar', 'tolak', 'dg', 'keras', 'world', 'cup', 'disusupi', 'pesanan', 'lgbt', 'keren']","['qatar', 'tolak', 'keras', 'world', 'cup', 'disusupi', 'pesanan', 'lgbt', 'keren']","['qatar', 'tolak', 'keras', 'world', 'cup', 'susup', 'pesan', 'lgbt', 'keren']"
43,rt jangan beri panggung buat orang lgbt dan pembelanya,"['rt', 'jangan', 'beri', 'panggung', 'buat', 'orang', 'lgbt', 'dan', 'pembelanya']","['panggung', 'orang', 'lgbt', 'pembelanya']","['panggung', 'orang', 'lgbt', 'bela']"
44,rt as tokoh nu ini minta masyarakat hormati lgbt sebagai sesama manusia dosa itu urusan allah oposisi cerdas,"['rt', 'as', 'tokoh', 'nu', 'ini', 'minta', 'masyarakat', 'hormati', 'lgbt', 'sebagai', 'sesama', 'manusia', 'dosa', 'itu', 'urusan', 'allah', 'oposisi', 'cerdas']","['as', 'tokoh', 'nu', 'masyarakat', 'hormati', 'lgbt', 'manusia', 'dosa', 'urusan', 'allah', 'oposisi', 'cerdas']","['as', 'tokoh', 'nu', 'masyarakat', 'hormat', 'lgbt', 'manusia', 'dosa', 'urus', 'allah', 'oposisi', 'cerdas']"
45,rt mnwmnw konon uas bukan urusan kita konon bendera lgbt bukan urusan kita giliran bendera tauhid diurus bulan desember diurus,"['rt', 'mnwmnw', 'konon', 'uas', 'bukan', 'urusan', 'kita', 'konon', 'bendera', 'lgbt', 'bukan', 'urusan', 'kita', 'giliran', 'bendera', 'tauhid', 'diurus', 'bulan', 'desember', 'diurus']","['mnwmnw', 'konon', 'uas', 'urusan', 'konon', 'bendera', 'lgbt', 'urusan', 'giliran', 'bendera', 'tauhid', 'diurus', 'desember', 'diurus']","['mnwmnw', 'konon', 'uas', 'urus', 'konon', 'bendera', 'lgbt', 'urus', 'gilir', 'bendera', 'tauhid', 'urus', 'desember', 'urus']"
46,obat penggugur kandungan original ready stok setiap hari siap membantu anda sampai tuntas untuk respon cepat,"['obat', 'penggugur', 'kandungan', 'original', 'ready', 'stok', 'setiap', 'hari', 'siap', 'membantu', 'anda', 'sampai', 'tuntas', 'untuk', 'respon', 'cepat']","['obat', 'penggugur', 'kandungan', 'original', 'ready', 'stok', 'membantu', 'tuntas', 'respon', 'cepat']","['obat', 'gugur', 'kandung', 'original', 'ready', 'stok', 'bantu', 'tuntas', 'respon', 'cepat']"
47,ahong yg lgbt di ranah privat ya nggak usah diurusin kita urusin yg mempromosikan lgbt,"['ahong', 'yg', 'lgbt', 'di', 'ranah', 'privat', 'ya', 'nggak', 'usah', 'diurusin', 'kita', 'urusin', 'yg', 'mempromosikan', 'lgbt']","['ahong', 'lgbt', 'ranah', 'privat', 'nggak', 'diurusin', 'urusin', 'mempromosikan', 'lgbt']","['ahong', 'lgbt', 'ranah', 'privat', 'nggak', 'diurusin', 'urusin', 'promosi', 'lgbt']"
48,ya sampe monyet betelor juga kalo statement tadi disambungin sam,"['ya', 'sampe', 'monyet', 'betelor', 'juga', 'kalo', 'statement', 'tadi', 'disambungin', 'sam']","['sampe', 'monyet', 'betelor', 'statement', 'disambungin', 'sam']","['sampe', 'monyet', 'betelor', 'statement', 'disambungin', 'sam']"
49,rt tolak lgbt,"['rt', 'tolak', 'lgbt']","['tolak', 'lgbt']","['tolak', 'lgbt']"
50,rt tiap malam mereka mengadakan pentas lengger sebuah kesenian tradisional yang dibawakan oleh para penari perempuan ya,"['rt', 'tiap', 'malam', 'mereka', 'mengadakan', 'pentas', 'lengger', 'sebuah', 'kesenian', 'tradisional', 'yang', 'dibawakan', 'oleh', 'para', 'penari', 'perempuan', 'ya']","['malam', 'mengadakan', 'pentas', 'lengger', 'kesenian', 'tradisional', 'dibawakan', 'penari', 'perempuan']","['malam', 'ada', 'pentas', 'lengger', 'seni', 'tradisional', 'bawa', 'tari', 'perempuan']"
51,rt pembela lgbt skrg sudah matiin mic besok anak kita akan dipaksa mengikuti pendidikan seks versi mereka dipaksa menolak,"['rt', 'pembela', 'lgbt', 'skrg', 'sudah', 'matiin', 'mic', 'besok', 'anak', 'kita', 'akan', 'dipaksa', 'mengikuti', 'pendidikan', 'seks', 'versi', 'mereka', 'dipaksa', 'menolak']","['pembela', 'lgbt', 'skrg', 'matiin', 'mic', 'besok', 'anak', 'dipaksa', 'mengikuti', 'pendidikan', 'seks', 'versi', 'dipaksa', 'menolak']","['bela', 'lgbt', 'skrg', 'matiin', 'mic', 'besok', 'anak', 'paksa', 'ikut', 'didik', 'seks', 'versi', 'paksa', 'tolak']"
52,jano lgbt kui singkatane opo to min,"['jano', 'lgbt', 'kui', 'singkatane', 'opo', 'to', 'min']","['jano', 'lgbt', 'kui', 'singkatane', 'opo', 'to', 'min']","['jano', 'lgbt', 'kui', 'singkatane', 'opo', 'to', 'min']"
53,rt perilaku penyimpangan seksual lgbt dan propagandanya kian meresahkan dan mengancam generasi muda,"['rt', 'perilaku', 'penyimpangan', 'seksual', 'lgbt', 'dan', 'propagandanya', 'kian', 'meresahkan', 'dan', 'mengancam', 'generasi', 'muda']","['perilaku', 'penyimpangan', 'seksual', 'lgbt', 'propagandanya', 'kian', 'meresahkan', 'mengancam', 'generasi', 'muda']","['perilaku', 'simpang', 'seksual', 'lgbt', 'propaganda', 'kian', 'resah', 'ancam', 'generasi', 'muda']"
54,iya yg bahas lgbt,"['iya', 'yg', 'bahas', 'lgbt']","['iya', 'bahas', 'lgbt']","['iya', 'bahas', 'lgbt']"
55,saya heran pada kemana akal sehatnya tidak cek fakta dulu jelas cuitan gus nadir itu utk lgbt,"['saya', 'heran', 'pada', 'kemana', 'akal', 'sehatnya', 'tidak', 'cek', 'fakta', 'dulu', 'jelas', 'cuitan', 'gus', 'nadir', 'itu', 'utk', 'lgbt']","['heran', 'kemana', 'akal', 'sehatnya', 'cek', 'fakta', 'cuitan', 'gus', 'nadir', 'lgbt']","['heran', 'mana', 'akal', 'sehat', 'cek', 'fakta', 'cuit', 'gus', 'nadir', 'lgbt']"
